statistical_area2,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°„C),Quality
Howard Springs,14041,2020,9,36.9,Y
Howard Springs,14041,2020,10,36.1,Y
Howard Springs,14041,2020,11,37.4,Y
Howard Springs,14041,2020,12,33.3,Y
Howard Springs,14041,2021,1,33.1,Y
Howard Springs,14041,2021,2,32.7,Y
Howard Springs,14041,2021,3,33.4,Y
Howard Springs,14041,2021,4,33.7,Y
Howard Springs,14041,2021,5,32.9,Y
Howard Springs,14041,2021,6,32.7,Y
Howard Springs,14041,2021,7,34,Y
Howard Springs,14041,2021,8,35.3,Y
Howard Springs,14041,2021,9,36.6,Y
Howard Springs,14041,2021,10,37.7,Y
