reporting_region,year,month_number,Mean_maximum_temperature
Darwin,2016,6,33.2
Darwin,2016,7,31.5
Darwin,2016,8,32.6
Darwin,2016,9,33.2
Darwin,2016,10,33.8
Darwin,2016,11,33.7
Darwin,2016,12,32.6
Darwin,2017,1,32
Darwin,2017,2,31.6
Darwin,2017,3,32.1
Darwin,2017,4,32
Darwin,2017,5,32.9
Darwin,2017,6,31.3
Darwin,2017,7,32.6
Darwin,2017,8,33.1
Darwin,2017,9,34.1
Darwin,2017,10,33.9
Darwin,2017,11,33.9
Darwin,2017,12,33.9
Darwin,2018,1,31.8
Darwin,2018,2,31.6
Darwin,2018,3,32.7
Darwin,2018,4,33.8
Darwin,2018,5,32.7
Darwin,2018,6,31.6
Darwin,2018,7,31.9
Darwin,2018,8,32
Darwin,2018,9,33.6
Darwin,2018,10,34.2
Darwin,2018,11,34
Darwin,2018,12,34
Darwin,2019,1,32.7
Darwin,2019,2,33.1
Darwin,2019,3,33.4
Darwin,2019,4,33.1
Darwin,2019,5,32.3
Darwin,2019,6,31
Darwin,2019,7,31.3
Darwin,2019,8,32
Darwin,2019,9,32.7
Darwin,2019,10,34.3
Darwin,2019,11,34.5
Darwin,2019,12,35.3
Darwin,2020,1,32.8
Darwin,2020,2,33.4
Darwin,2020,3,33.2
Darwin,2020,4,33.7
Darwin,2020,5,32.1
Darwin,2020,6,32.4
Darwin,2020,7,32
Darwin,2020,8,32.6
Darwin,2020,9,33.9
Darwin,2020,10,33.6
Darwin,2020,11,35
Darwin,2020,12,32.6
Darwin,2021,1,31.8
Darwin,2021,2,31.4
Darwin,2021,3,32.3
Darwin,2021,4,33
Darwin,2021,5,32.7
Darwin,2021,6,31.8
Darwin,2021,7,32.3
Darwin,2021,8,33.4
Darwin,2021,9,34.1
Darwin,2021,10,34.5
